Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 209583 reads, 0 truncates, 209584 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (2 total secs)
0 inserts, 0 modifies, 135612 reads, 0 truncates, 135612 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (4 total secs)
0 inserts, 0 modifies, 221365 reads, 0 truncates, 221364 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (6 total secs)
0 inserts, 0 modifies, 179673 reads, 0 truncates, 179673 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (8 total secs)
0 inserts, 0 modifies, 224574 reads, 0 truncates, 224576 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (10 total secs)
0 inserts, 0 modifies, 225242 reads, 0 truncates, 225241 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (12 total secs)
0 inserts, 0 modifies, 120597 reads, 0 truncates, 120598 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (14 total secs)
0 inserts, 0 modifies, 225595 reads, 0 truncates, 225593 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (16 total secs)
0 inserts, 0 modifies, 183812 reads, 0 truncates, 183814 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (18 total secs)
0 inserts, 0 modifies, 225341 reads, 0 truncates, 225342 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (20 total secs)
0 inserts, 0 modifies, 227340 reads, 0 truncates, 227338 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (22 total secs)
0 inserts, 0 modifies, 157013 reads, 0 truncates, 157013 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (24 total secs)
