Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.16
load ops/sec: 3105590
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 300314 reads, 0 truncates, 300316 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (2 total secs)
0 inserts, 0 modifies, 253306 reads, 0 truncates, 253307 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (4 total secs)
0 inserts, 0 modifies, 287897 reads, 0 truncates, 287895 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (6 total secs)
0 inserts, 0 modifies, 231703 reads, 0 truncates, 231705 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (8 total secs)
0 inserts, 0 modifies, 313711 reads, 0 truncates, 313710 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (10 total secs)
0 inserts, 0 modifies, 294178 reads, 0 truncates, 294177 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (12 total secs)
0 inserts, 0 modifies, 320050 reads, 0 truncates, 320051 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (14 total secs)
0 inserts, 0 modifies, 316362 reads, 0 truncates, 316362 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (16 total secs)
0 inserts, 0 modifies, 173050 reads, 0 truncates, 173051 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (18 total secs)
0 inserts, 0 modifies, 330529 reads, 0 truncates, 330528 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (20 total secs)
0 inserts, 0 modifies, 320204 reads, 0 truncates, 320205 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (22 total secs)
