Starting 1 populate thread(s) for 500000 items
Finished load of 500000 items
Load time: 0.17
load ops/sec: 2923976
Starting workload #1: 4 threads, inserts=0, modifies=0, reads=50, truncate=0, updates=50, throttle=0
0 inserts, 0 modifies, 300646 reads, 0 truncates, 300648 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (2 total secs)
0 inserts, 0 modifies, 304573 reads, 0 truncates, 304573 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (4 total secs)
0 inserts, 0 modifies, 268151 reads, 0 truncates, 268151 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (6 total secs)
0 inserts, 0 modifies, 238230 reads, 0 truncates, 238230 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (8 total secs)
0 inserts, 0 modifies, 320864 reads, 0 truncates, 320865 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (10 total secs)
0 inserts, 0 modifies, 284327 reads, 0 truncates, 284326 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (12 total secs)
0 inserts, 0 modifies, 324335 reads, 0 truncates, 324335 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (14 total secs)
0 inserts, 0 modifies, 270319 reads, 0 truncates, 270320 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (16 total secs)
0 inserts, 0 modifies, 255419 reads, 0 truncates, 255417 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (18 total secs)
0 inserts, 0 modifies, 292086 reads, 0 truncates, 292088 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (20 total secs)
0 inserts, 0 modifies, 220408 reads, 0 truncates, 220408 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (22 total secs)
0 inserts, 0 modifies, 324201 reads, 0 truncates, 324198 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (24 total secs)
0 inserts, 0 modifies, 201044 reads, 0 truncates, 201047 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (26 total secs)
0 inserts, 0 modifies, 322107 reads, 0 truncates, 322106 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (28 total secs)
0 inserts, 0 modifies, 311849 reads, 0 truncates, 311848 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (30 total secs)
0 inserts, 0 modifies, 293497 reads, 0 truncates, 293498 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (32 total secs)
0 inserts, 0 modifies, 212984 reads, 0 truncates, 212983 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (34 total secs)
0 inserts, 0 modifies, 231312 reads, 0 truncates, 231315 updates, 0 backups, 0 checkpoints, 0 flush_tiers, 0 scans in 2 secs (36 total secs)
