timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786359403.93,2.01,9665183.59,0.49,0.24
1786359405.95,4.02,9665266.60,83.01,41.50
1786359407.97,6.04,9665448.73,182.13,91.06
1786359409.98,8.06,9665660.64,211.91,105.96
1786359412.00,10.08,9665885.25,224.61,112.30
1786359414.02,12.09,9666114.26,229.00,114.50
1786359416.04,14.11,9666346.68,232.42,116.21
1786359418.06,16.13,9666661.13,314.45,157.23
1786359420.08,18.15,9666892.58,231.45,115.72
1786359422.09,20.16,9667124.51,231.93,115.97
1786359424.10,22.18,9667357.42,232.91,116.46
1786359426.12,24.19,9667615.72,258.30,129.15
1786359428.12,26.20,9667847.66,231.93,115.97
1786359430.13,28.20,9668080.57,232.91,116.46
1786359432.14,30.22,9668313.48,232.91,116.46
1786359434.16,32.23,9668604.49,291.02,145.51
1786359436.17,34.24,9668833.50,229.00,114.50
1786359438.18,36.25,9669065.92,232.42,116.21
1786359440.19,38.26,9669296.39,230.47,115.23
1786359442.20,40.27,9669529.30,232.91,116.46
1786359444.21,42.29,9669759.77,230.47,115.23
1786359446.23,44.30,9669991.70,231.93,115.97
1786359448.24,46.31,9670226.56,234.86,117.43
1786359450.25,48.33,9670486.33,259.77,129.88
1786359452.26,50.33,9670782.23,295.90,147.95
1786359454.27,52.35,9671014.65,232.42,116.21
1786359456.28,54.36,9671244.63,229.98,114.99
1786359458.30,56.37,9671474.61,229.98,114.99
1786359460.31,58.38,9671752.93,278.32,139.16
1786359462.32,60.39,9672021.00,268.07,134.03
1786359464.33,62.40,9672256.35,235.35,117.68
1786359466.34,64.41,9672487.30,230.96,115.48
1786359468.35,66.42,9672718.26,230.96,115.48
1786359470.36,68.43,9672977.54,259.28,129.64
1786359472.36,70.44,9673208.50,230.96,115.48
1786359474.37,72.45,9673438.48,229.98,114.99
1786359476.39,74.46,9673668.95,230.47,115.23
1786359478.40,76.47,9673902.83,233.89,116.94
1786359480.41,78.48,9674162.11,259.28,129.64
1786359482.42,80.49,9674394.53,232.42,116.21
1786359484.43,82.50,9674626.46,231.93,115.97
1786359486.44,84.51,9674858.89,232.42,116.21
1786359488.45,86.53,9675091.80,232.91,116.46
1786359490.47,88.54,9675323.73,231.93,115.97
1786359492.48,90.55,9675557.62,233.89,116.94
1786359494.49,92.56,9675819.82,262.21,131.10
1786359496.50,94.57,9676117.19,297.36,148.68
1786359498.51,96.58,9676347.66,230.47,115.23
1786359500.52,98.60,9676578.12,230.47,115.23
1786359502.53,100.61,9676811.04,232.91,116.46
1786359504.55,102.62,9677042.48,231.45,115.72
1786359506.56,104.63,9677345.70,303.22,151.61
1786359508.57,106.64,9677591.31,245.61,122.80
1786359510.58,108.65,9677825.68,234.38,117.19
1786359512.59,110.66,9678058.59,232.91,116.46
1786359514.60,112.68,9678291.02,232.42,116.21
1786359516.62,114.69,9678522.46,231.45,115.72
1786359518.63,116.70,9678753.42,230.96,115.48
1786359520.64,118.71,9679014.16,260.74,130.37
1786359522.65,120.72,9679246.58,232.42,116.21
1786359524.65,122.73,9679479.98,233.40,116.70
1786359526.90,124.97,9679738.77,258.79,129.39
1786359528.90,126.98,9679971.19,232.42,116.21
1786359530.92,128.99,9680202.15,230.96,115.48
1786359532.93,131.00,9680431.64,229.49,114.75
1786359534.94,133.01,9680662.11,230.47,115.23
1786359536.95,135.02,9680975.10,312.99,156.49
1786359538.96,137.03,9681217.29,242.19,121.09
1786359540.97,139.04,9681451.66,234.38,117.19
1786359542.98,141.06,9681681.64,229.98,114.99
1786359545.00,143.07,9681912.11,230.47,115.23
1786359547.01,145.08,9682160.16,248.05,124.02
1786359549.02,147.09,9682402.83,242.68,121.34
1786359551.03,149.10,9682694.34,291.50,145.75
1786359553.04,151.11,9682927.73,233.40,116.70
1786359555.27,153.35,9683161.62,233.89,116.94
1786359557.29,155.36,9683419.92,258.30,129.15
1786359559.29,157.37,9683653.32,233.40,116.70
1786359561.31,159.38,9683884.77,231.45,115.72
1786359563.32,161.39,9684118.65,233.89,116.94
1786359565.33,163.40,9684352.05,233.40,116.70
