timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786388281.52,2.01,12268359.86,5.86,2.93
1786388283.53,4.03,12268444.82,84.96,42.48
1786388285.55,6.05,12268633.30,188.48,94.24
1786388287.57,8.07,12268851.07,217.77,108.89
1786388289.59,10.09,12269080.08,229.00,114.50
1786388291.61,12.10,12269312.99,232.91,116.46
1786388293.63,14.12,12269519.53,206.54,103.27
1786388295.64,16.14,12269754.39,234.86,117.43
1786388297.66,18.16,12269993.16,238.77,119.38
1786388299.68,20.18,12270229.49,236.33,118.16
1786388301.70,22.20,12270464.84,235.35,117.68
1786388303.72,24.22,12270700.68,235.84,117.92
1786388305.74,26.23,12270877.93,177.25,88.62
1786388307.75,28.25,12271085.45,207.52,103.76
1786388309.77,30.27,12271321.29,235.84,117.92
1786388311.79,32.28,12271470.21,148.93,74.46
1786388313.81,34.31,12271706.05,235.84,117.92
1786388315.83,36.33,12271941.89,235.84,117.92
1786388317.84,38.34,12272174.80,232.91,116.46
1786388319.85,40.35,12272385.25,210.45,105.22
1786388321.86,42.36,12272621.09,235.84,117.92
1786388323.87,44.37,12272856.45,235.35,117.68
1786388325.89,46.38,12273090.82,234.38,117.19
1786388327.91,48.40,12273288.57,197.75,98.88
1786388329.92,50.42,12273483.40,194.82,97.41
1786388331.94,52.44,12273718.75,235.35,117.68
1786388333.95,54.45,12273943.36,224.61,112.30
1786388335.96,56.46,12274161.62,218.26,109.13
1786388337.98,58.47,12274387.21,225.59,112.79
1786388339.99,60.48,12274568.85,181.64,90.82
1786388342.00,62.49,12274776.37,207.52,103.76
1786388344.01,64.50,12275017.09,240.72,120.36
1786388346.02,66.52,12275253.42,236.33,118.16
1786388348.03,68.53,12275464.84,211.43,105.71
1786388350.04,70.54,12275700.20,235.35,117.68
1786388352.05,72.55,12275936.04,235.84,117.92
1786388354.06,74.56,12276111.82,175.78,87.89
1786388356.07,76.56,12276333.01,221.19,110.60
1786388358.08,78.57,12276557.13,224.12,112.06
1786388360.09,80.59,12276795.90,238.77,119.38
1786388362.10,82.59,12277013.67,217.77,108.89
1786388364.11,84.60,12277232.42,218.75,109.38
1786388366.12,86.61,12277382.81,150.39,75.20
1786388368.12,88.62,12277599.61,216.80,108.40
1786388370.13,90.63,12277825.68,226.07,113.04
1786388372.14,92.64,12278033.69,208.01,104.00
1786388374.15,94.64,12278214.84,181.15,90.58
1786388376.16,96.66,12278450.68,235.84,117.92
1786388378.17,98.66,12278660.64,209.96,104.98
