timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786373840.47,2.01,11095707.52,5.37,2.69
1786373842.48,4.03,11095788.57,81.05,40.53
1786373844.50,6.04,11095972.66,184.08,92.04
1786373846.52,8.06,11096184.08,211.43,105.71
1786373848.54,10.08,11096434.57,250.49,125.24
1786373850.56,12.10,11096663.09,228.52,114.26
1786373852.57,14.12,11096893.55,230.47,115.23
1786373854.59,16.14,11097124.02,230.47,115.23
1786373856.60,18.15,11097361.82,237.79,118.90
1786373858.61,20.15,11097592.77,230.96,115.48
1786373860.62,22.17,11097824.71,231.93,115.97
1786373862.63,24.18,11098056.64,231.93,115.97
1786373864.65,26.19,11098289.06,232.42,116.21
1786373866.66,28.20,11098522.46,233.40,116.70
1786373868.67,30.21,11098752.44,229.98,114.99
1786373870.68,32.22,11098984.86,232.42,116.21
1786373872.69,34.23,11099221.19,236.33,118.16
1786373874.70,36.24,11099451.66,230.47,115.23
1786373876.71,38.25,11099681.64,229.98,114.99
1786373878.72,40.27,11099911.13,229.49,114.75
1786373880.74,42.28,11100143.07,231.93,115.97
1786373882.75,44.29,11100375.00,231.93,115.97
1786373884.76,46.31,11100604.49,229.49,114.75
1786373886.78,48.32,11100867.19,262.70,131.35
1786373888.78,50.33,11101162.11,294.92,147.46
1786373890.80,52.34,11101394.04,231.93,115.97
1786373892.81,54.35,11101623.05,229.00,114.50
1786373894.82,56.36,11101854.00,230.96,115.48
1786373896.83,58.37,11102083.98,229.98,114.99
1786373898.84,60.38,11102284.18,200.20,100.10
1786373900.85,62.39,11102494.63,210.45,105.22
1786373902.86,64.40,11102724.61,229.98,114.99
1786373904.87,66.41,11102947.75,223.14,111.57
1786373906.88,68.42,11103174.32,226.56,113.28
1786373908.89,70.43,11103382.32,208.01,104.00
1786373910.90,72.44,11103614.75,232.42,116.21
1786373912.91,74.45,11103847.17,232.42,116.21
1786373914.92,76.46,11104076.66,229.49,114.75
1786373916.93,78.47,11104308.59,231.93,115.97
1786373918.94,80.49,11104543.95,235.35,117.68
1786373920.95,82.50,11104767.09,223.14,111.57
1786373922.96,84.51,11104979.00,211.91,105.96
1786373924.98,86.52,11105211.43,232.42,116.21
1786373926.99,88.53,11105443.36,231.93,115.97
1786373929.00,90.54,11105674.32,230.96,115.48
1786373931.01,92.55,11105905.27,230.96,115.48
1786373933.27,94.82,11106141.11,235.84,117.92
1786373935.28,96.83,11106376.95,235.84,117.92
1786373937.30,98.84,11106606.93,229.98,114.99
1786373939.31,100.85,11106826.17,219.24,109.62
1786373941.33,102.87,11107041.02,214.84,107.42
1786373943.33,104.88,11107218.26,177.25,88.62
1786373945.34,106.89,11107445.31,227.05,113.53
1786373947.36,108.90,11107677.25,231.93,115.97
1786373949.37,110.91,11107911.13,233.89,116.94
1786373951.38,112.92,11108056.15,145.02,72.51
1786373953.98,115.52,11108397.95,341.80,170.90
1786373955.99,117.53,11108604.98,207.03,103.52
1786373958.00,119.54,11108833.01,228.03,114.01
1786373960.01,121.55,11109064.94,231.93,115.97
1786373962.14,123.68,11109297.36,232.42,116.21
1786373964.15,125.69,11109531.74,234.38,117.19
1786373966.16,127.70,11109762.21,230.47,115.23
1786373968.17,129.71,11110018.07,255.86,127.93
1786373970.18,131.72,11110193.36,175.29,87.65
1786373972.19,133.73,11110479.49,286.13,143.07
1786373974.20,135.74,11110707.52,228.03,114.01
1786373976.21,137.75,11110917.48,209.96,104.98
1786373978.22,139.76,11111172.85,255.37,127.69
1786373980.23,141.77,11111399.90,227.05,113.53
1786373982.23,143.78,11111612.79,212.89,106.45
1786373984.24,145.78,11111834.47,221.68,110.84
1786373986.25,147.80,11112066.41,231.93,115.97
1786373988.27,149.82,11112206.05,139.65,69.82
1786373990.29,151.83,11112423.83,217.77,108.89
1786373992.29,153.84,11112642.58,218.75,109.38
1786373994.31,155.85,11112879.88,237.30,118.65
1786373996.35,157.90,11113110.84,230.96,115.48
1786373998.37,159.91,11113342.77,231.93,115.97
1786374000.38,161.92,11113574.71,231.93,115.97
1786374002.39,163.93,11113806.15,231.45,115.72
1786374004.40,165.94,11114025.39,219.24,109.62
1786374006.40,167.95,11114191.41,166.02,83.01
1786374008.60,170.14,11114475.59,284.18,142.09
1786374010.61,172.15,11114708.98,233.40,116.70
1786374012.62,174.17,11114933.11,224.12,112.06
1786374014.64,176.18,11115140.14,207.03,103.52
1786374016.65,178.19,11115359.86,219.73,109.86
