timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786366636.06,2.01,10411033.20,12.70,6.35
1786366638.30,4.25,10411093.26,60.06,30.03
1786366640.32,6.27,10411410.64,317.38,158.69
1786366642.34,8.30,10411411.13,0.49,0.24
1786366644.36,10.32,10411518.07,106.93,53.47
1786366646.40,12.35,10411626.95,108.89,54.44
1786366648.42,14.37,10411627.44,0.49,0.24
1786366650.44,16.40,10412038.09,410.64,205.32
1786366652.47,18.42,10412038.09,0.00,0.00
1786366654.49,20.44,10412164.06,125.98,62.99
1786366656.51,22.46,10412219.24,55.18,27.59
1786366658.52,24.47,10412219.73,0.49,0.24
1786366660.54,26.49,10412426.27,206.54,103.27
1786366662.56,28.51,10412426.27,0.00,0.00
1786366664.57,30.52,10412582.03,155.76,77.88
1786366666.58,32.54,10412601.07,19.04,9.52
1786366668.60,34.55,10412766.11,165.04,82.52
1786366670.61,36.56,10413086.91,320.80,160.40
1786366672.62,38.58,10413173.83,86.91,43.46
1786366674.64,40.59,10413349.12,175.29,87.65
1786366676.66,42.61,10413403.81,54.69,27.34
1786366678.67,44.62,10413751.46,347.66,173.83
1786366680.68,46.64,10413751.46,0.00,0.00
1786366682.70,48.65,10413751.46,0.00,0.00
1786366684.74,50.69,10414253.42,501.95,250.98
1786366686.75,52.71,10414253.42,0.00,0.00
1786366688.77,54.72,10414332.52,79.10,39.55
1786366690.78,56.74,10414674.32,341.80,170.90
1786366692.80,58.75,10414674.32,0.00,0.00
1786366694.81,60.77,10414894.53,220.21,110.11
1786366696.87,62.82,10414914.06,19.53,9.77
1786366698.88,64.84,10415142.58,228.52,114.26
1786366700.90,66.85,10415142.58,0.00,0.00
1786366702.92,68.87,10415394.53,251.95,125.98
1786366704.93,70.88,10415452.15,57.62,28.81
1786366706.94,72.90,10415477.05,24.90,12.45
1786366708.95,74.90,10415764.65,287.60,143.80
1786366710.97,76.92,10415764.65,0.00,0.00
1786366712.98,78.94,10415932.13,167.48,83.74
1786366715.00,80.95,10416029.30,97.17,48.58
1786366717.01,82.97,10416057.13,27.83,13.92
1786366719.03,84.98,10416154.79,97.66,48.83
1786366721.04,87.00,10416307.62,152.83,76.42
1786366723.06,89.01,10416307.62,0.00,0.00
1786366725.08,91.03,10416619.63,312.01,156.01
1786366727.10,93.05,10416635.25,15.62,7.81
1786366729.12,95.07,10416975.59,340.33,170.17
1786366731.16,97.11,10416975.59,0.00,0.00
1786366733.17,99.13,10417098.63,123.05,61.52
1786366735.19,101.14,10417098.63,0.00,0.00
1786366737.20,103.16,10417353.03,254.39,127.20
1786366739.22,105.17,10417383.79,30.76,15.38
1786366741.23,107.18,10417532.23,148.44,74.22
1786366743.25,109.20,10417532.23,0.00,0.00
1786366745.26,111.21,10417783.69,251.46,125.73
1786366747.27,113.22,10417955.08,171.39,85.69
1786366749.29,115.24,10418090.33,135.25,67.63
1786366751.30,117.25,10418090.33,0.00,0.00
1786366753.32,119.27,10418090.33,0.00,0.00
1786366755.34,121.30,10418437.01,346.68,173.34
1786366757.36,123.31,10418457.52,20.51,10.25
1786366759.37,125.32,10418543.46,85.94,42.97
1786366761.39,127.34,10418543.46,0.00,0.00
1786366763.41,129.36,10418543.46,0.00,0.00
1786366765.44,131.39,10418721.68,178.22,89.11
1786366767.45,133.41,10418721.68,0.00,0.00
1786366769.47,135.43,10419379.39,657.71,328.86
1786366771.49,137.44,10419379.39,0.00,0.00
1786366773.50,139.46,10419379.39,0.00,0.00
1786366775.52,141.47,10419856.45,477.05,238.53
1786366777.54,143.50,10420351.56,495.12,247.56
1786366779.56,145.51,10420351.56,0.00,0.00
1786366781.58,147.53,10420352.05,0.49,0.24
1786366783.59,149.55,10420352.05,0.00,0.00
1786366785.61,151.57,10420571.29,219.24,109.62
1786366787.63,153.59,10420708.98,137.70,68.85
1786366789.66,155.62,10420806.15,97.17,48.58
1786366791.68,157.63,10420905.27,99.12,49.56
1786366793.69,159.65,10420905.27,0.00,0.00
1786366795.71,161.66,10421110.84,205.57,102.78
1786366797.73,163.68,10421258.79,147.95,73.97
1786366799.74,165.69,10421348.63,89.84,44.92
1786366801.76,167.71,10421348.63,0.00,0.00
1786366803.77,169.73,10421348.63,0.00,0.00
1786366805.81,171.76,10421520.51,171.88,85.94
1786366807.82,173.78,10421699.71,179.20,89.60
1786366809.83,175.79,10421801.27,101.56,50.78
1786366811.85,177.80,10421801.27,0.00,0.00
1786366813.86,179.82,10421801.27,0.00,0.00
1786366815.88,181.83,10422034.67,233.40,116.70
1786366817.90,183.86,10422130.37,95.70,47.85
1786366819.92,185.87,10422249.02,118.65,59.33
1786366821.93,187.89,10422249.51,0.49,0.24
1786366823.97,189.93,10422249.51,0.00,0.00
1786366825.99,191.94,10422363.77,114.26,57.13
1786366828.00,193.95,10422595.21,231.45,115.72
1786366830.02,195.97,10422911.13,315.92,157.96
1786366832.03,197.98,10422911.62,0.49,0.24
1786366834.11,200.06,10422911.62,0.00,0.00
1786366836.13,202.08,10423078.61,166.99,83.50
1786366838.14,204.09,10423078.61,0.00,0.00
1786366840.16,206.11,10423214.84,136.23,68.12
1786366842.17,208.13,10423215.33,0.49,0.24
1786366844.24,210.19,10423382.32,166.99,83.50
1786366846.25,212.21,10423382.32,0.00,0.00
1786366848.27,214.22,10423646.48,264.16,132.08
1786366850.28,216.24,10423945.31,298.83,149.41
1786366852.30,218.25,10423945.31,0.00,0.00
1786366854.36,220.31,10424082.52,137.21,68.60
1786366856.38,222.33,10424082.52,0.00,0.00
1786366858.39,224.35,10424216.80,134.28,67.14
1786366860.41,226.36,10424351.56,134.77,67.38
1786366862.42,228.37,10424351.56,0.00,0.00
1786366864.44,230.39,10424489.75,138.18,69.09
1786366866.45,232.40,10424489.75,0.00,0.00
1786366868.46,234.42,10424753.91,264.16,132.08
1786366870.48,236.43,10424889.65,135.74,67.87
1786366872.49,238.44,10424889.65,0.00,0.00
1786366874.50,240.46,10425096.68,207.03,103.52
1786366876.54,242.49,10425099.61,2.93,1.46
1786366878.56,244.51,10425437.99,338.38,169.19
1786366880.57,246.53,10425437.99,0.00,0.00
1786366882.59,248.54,10425437.99,0.00,0.00
1786366884.63,250.58,10425625.49,187.50,93.75
1786366886.67,252.62,10425806.15,180.66,90.33
1786366888.68,254.64,10425844.73,38.57,19.29
1786366890.69,256.65,10426003.91,159.18,79.59
1786366892.71,258.66,10426003.91,0.00,0.00
1786366894.72,260.67,10426143.07,139.16,69.58
1786366896.73,262.69,10426143.55,0.49,0.24
1786366898.75,264.70,10426328.61,185.06,92.53
1786366900.76,266.71,10426468.26,139.65,69.82
1786366902.78,268.73,10426468.26,0.00,0.00
1786366904.79,270.75,10426678.71,210.45,105.22
1786366907.10,273.06,10426678.71,0.00,0.00
1786366909.12,275.08,10427032.71,354.00,177.00
1786366911.14,277.09,10427033.20,0.49,0.24
1786366913.16,279.11,10427033.20,0.00,0.00
1786366915.20,281.15,10427151.86,118.65,59.33
1786366917.21,283.17,10427152.34,0.49,0.24
1786366919.23,285.18,10427936.04,783.69,391.85
1786366921.25,287.20,10428388.67,452.64,226.32
1786366923.26,289.22,10428388.67,0.00,0.00
1786366925.28,291.24,10428669.43,280.76,140.38
1786366927.30,293.25,10428669.43,0.00,0.00
1786366929.32,295.27,10429299.80,630.37,315.19
1786366931.34,297.29,10429300.29,0.49,0.24
1786366933.35,299.31,10429300.29,0.00,0.00
1786366935.38,301.33,10429408.69,108.40,54.20
1786366937.40,303.35,10429536.62,127.93,63.96
1786366939.42,305.37,10429634.77,98.14,49.07
1786366941.43,307.38,10429635.25,0.49,0.24
1786366943.45,309.40,10429635.25,0.00,0.00
1786366945.47,311.42,10429959.96,324.71,162.35
