timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786395513.91,2.01,13003775.39,0.98,0.49
1786395515.94,4.04,13003834.96,59.57,29.79
1786395517.95,6.06,13004070.31,235.35,117.68
1786395519.97,8.07,13004181.64,111.33,55.66
1786395521.99,10.09,13004213.87,32.23,16.11
1786395524.02,12.13,13004395.51,181.64,90.82
1786395526.04,14.14,13004502.44,106.93,53.47
1786395528.45,16.55,13004502.93,0.49,0.24
1786395530.46,18.57,13004564.45,61.52,30.76
1786395532.48,20.58,13004944.34,379.88,189.94
1786395534.50,22.60,13004999.02,54.69,27.34
1786395536.51,24.61,13005053.22,54.20,27.10
1786395538.66,26.76,13005054.20,0.98,0.49
1786395540.68,28.78,13005329.10,274.90,137.45
1786395542.70,30.80,13005329.10,0.00,0.00
1786395544.72,32.82,13005508.30,179.20,89.60
1786395546.75,34.85,13005653.32,145.02,72.51
1786395548.77,36.87,13005705.57,52.25,26.12
1786395550.78,38.89,13005795.41,89.84,44.92
1786395552.81,40.91,13005919.43,124.02,62.01
1786395554.82,42.93,13006152.83,233.40,116.70
1786395556.84,44.94,13006274.41,121.58,60.79
1786395558.85,46.95,13006274.41,0.00,0.00
1786395560.87,48.97,13006401.86,127.44,63.72
1786395562.89,50.99,13006642.58,240.72,120.36
1786395564.91,53.01,13006811.04,168.46,84.23
1786395566.91,55.02,13006871.58,60.55,30.27
1786395568.93,57.03,13006871.58,0.00,0.00
1786395570.94,59.04,13007302.25,430.66,215.33
1786395572.96,61.06,13007302.73,0.49,0.24
1786395574.97,63.07,13007566.89,264.16,132.08
1786395576.99,65.09,13007607.91,41.02,20.51
1786395579.00,67.10,13007630.86,22.95,11.47
1786395581.01,69.11,13007715.82,84.96,42.48
1786395583.02,71.13,13007716.31,0.49,0.24
1786395585.04,73.14,13007766.11,49.80,24.90
1786395587.07,75.17,13007854.98,88.87,44.43
1786395589.09,77.19,13008021.97,166.99,83.50
1786395591.10,79.20,13008138.67,116.70,58.35
1786395593.12,81.22,13008138.67,0.00,0.00
1786395595.13,83.23,13008454.59,315.92,157.96
1786395597.15,85.25,13008534.18,79.59,39.79
1786395599.16,87.26,13008636.72,102.54,51.27
1786395601.18,89.28,13008728.52,91.80,45.90
1786395603.20,91.30,13008767.58,39.06,19.53
1786395605.22,93.32,13008870.61,103.03,51.51
1786395607.23,95.33,13009010.25,139.65,69.82
1786395609.25,97.35,13009119.14,108.89,54.44
1786395611.26,99.36,13009181.64,62.50,31.25
1786395613.27,101.38,13009182.13,0.49,0.24
1786395615.29,103.40,13009385.25,203.12,101.56
1786395617.31,105.41,13009385.25,0.00,0.00
1786395619.33,107.43,13009613.28,228.03,114.01
1786395621.35,109.45,13009694.82,81.54,40.77
1786395623.36,111.46,13009694.82,0.00,0.00
1786395625.48,113.58,13009754.39,59.57,29.79
1786395627.50,115.60,13009870.61,116.21,58.11
1786395629.52,117.62,13010099.61,229.00,114.50
1786395631.53,119.64,13010325.20,225.59,112.79
1786395633.54,121.65,13010366.21,41.02,20.51
1786395635.57,123.67,13010366.21,0.00,0.00
1786395637.61,125.71,13010526.37,160.16,80.08
1786395639.61,127.72,13010609.38,83.01,41.50
1786395641.63,129.73,13010769.53,160.16,80.08
1786395643.65,131.75,13010769.53,0.00,0.00
1786395645.67,133.77,13011030.76,261.23,130.62
1786395647.68,135.78,13011222.17,191.41,95.70
1786395649.70,137.81,13011363.28,141.11,70.56
1786395651.72,139.82,13011559.08,195.80,97.90
1786395653.73,141.83,13011669.43,110.35,55.18
1786395655.75,143.85,13011840.82,171.39,85.69
1786395657.77,145.87,13011840.82,0.00,0.00
1786395659.78,147.88,13011901.37,60.55,30.27
1786395661.80,149.90,13011917.48,16.11,8.06
1786395663.82,151.92,13011977.54,60.06,30.03
1786395665.83,153.94,13012188.48,210.94,105.47
1786395667.85,155.95,13012188.48,0.00,0.00
1786395669.88,157.98,13012460.45,271.97,135.99
1786395671.89,159.99,13012460.45,0.00,0.00
1786395674.00,162.10,13012460.45,0.00,0.00
1786395676.02,164.12,13012522.46,62.01,31.01
1786395678.03,166.14,13012695.80,173.34,86.67
