timestamp_sec,elapsed_sec,total_physical_mb_written,interval_mb_written,write_rate_mbps
1786381072.85,2.01,11845344.73,19.04,9.52
1786381074.89,4.05,11845404.79,60.06,30.03
1786381076.92,6.08,11845470.21,65.43,32.71
1786381078.95,8.10,11845605.47,135.25,67.63
1786381080.97,10.13,11845726.07,120.61,60.30
1786381082.98,12.14,11845820.80,94.73,47.36
1786381085.01,14.16,11845893.55,72.75,36.38
1786381087.03,16.19,11845894.04,0.49,0.24
1786381089.05,18.21,11846067.38,173.34,86.67
1786381091.08,20.24,11846131.84,64.45,32.23
1786381093.09,22.25,11846311.52,179.69,89.84
1786381095.12,24.27,11846579.59,268.07,134.03
1786381097.14,26.30,11846580.08,0.49,0.24
1786381099.16,28.32,11846824.22,244.14,122.07
1786381101.22,30.38,11846897.95,73.73,36.87
1786381103.24,32.40,11846897.95,0.00,0.00
1786381105.26,34.42,11847007.81,109.86,54.93
1786381107.29,36.45,11847268.07,260.25,130.13
1786381109.31,38.47,11847463.87,195.80,97.90
1786381111.34,40.50,11847608.89,145.02,72.51
1786381113.37,42.52,11847642.58,33.69,16.85
1786381115.39,44.55,11847752.44,109.86,54.93
1786381117.40,46.56,11847894.53,142.09,71.04
1786381119.41,48.57,11848021.00,126.46,63.23
1786381121.43,50.59,11848195.31,174.32,87.16
1786381123.44,52.60,11848210.45,15.14,7.57
1786381125.45,54.61,11848382.81,172.36,86.18
1786381127.47,56.63,11848382.81,0.00,0.00
1786381129.49,58.65,11848455.08,72.27,36.13
1786381131.51,60.67,11848541.02,85.94,42.97
1786381133.52,62.68,11848564.45,23.44,11.72
1786381135.54,64.70,11848652.34,87.89,43.95
1786381137.57,66.73,11848753.91,101.56,50.78
1786381139.59,68.74,11849098.63,344.73,172.36
1786381141.61,70.76,11849098.63,0.00,0.00
1786381143.63,72.78,11849101.56,2.93,1.46
1786381145.64,74.80,11849101.56,0.00,0.00
1786381147.67,76.82,11849102.05,0.49,0.24
1786381149.69,78.84,11849377.44,275.39,137.70
1786381151.71,80.86,11849377.44,0.00,0.00
1786381153.72,82.88,11849516.11,138.67,69.34
1786381155.74,84.90,11849583.50,67.38,33.69
1786381157.76,86.92,11849583.50,0.00,0.00
1786381159.78,88.94,11849761.72,178.22,89.11
1786381161.80,90.96,11849938.96,177.25,88.62
1786381163.82,92.98,11849959.47,20.51,10.25
1786381165.83,94.99,11850031.25,71.78,35.89
1786381167.84,97.00,11850031.74,0.49,0.24
1786381169.87,99.03,11850355.96,324.22,162.11
1786381171.88,101.04,11850355.96,0.00,0.00
1786381173.90,103.06,11850497.07,141.11,70.56
1786381175.92,105.08,11850535.64,38.57,19.29
1786381177.93,107.09,11850599.61,63.96,31.98
1786381179.94,109.10,11850771.48,171.88,85.94
1786381181.96,111.12,11850965.82,194.34,97.17
1786381183.98,113.14,11851062.01,96.19,48.10
1786381186.25,115.41,11851148.93,86.91,43.46
1786381188.27,117.43,11851501.46,352.54,176.27
1786381190.28,119.44,11851682.62,181.15,90.58
1786381192.30,121.46,11851682.62,0.00,0.00
1786381194.32,123.47,11851969.24,286.62,143.31
1786381196.33,125.49,11852014.16,44.92,22.46
1786381198.34,127.50,11852023.44,9.28,4.64
